
PipeList v1.02 - Lists open named pipes
Copyright (C) 2005-2016 Mark Russinovich
Sysinternals - www.sysinternals.com

Pipe Name                                    Instances       Max Instances
LOCAL\mojo.26652.2376.2059895742796701396          1                1      
LOCAL\mojo.26652.9908.700507245695588694          1                1      
LOCAL\mojo.26652.9908.6289043942864812297          1                1      
LOCAL\mojo.26652.9908.16751112444112330394          1                1      
LOCAL\mojo.26652.9908.7363085182493785797          1                1      
LOCAL\mojo.26652.9908.582796539560464543          1                1      
LOCAL\mojo.26652.2376.15713376229130440398          1                1      
LOCAL\mojo.26652.9908.9589335946275645236          1                1      
LOCAL\mojo.26652.9908.2360131396746965365          1                1      
LOCAL\mojo.26652.9908.6761223408943204074          1                1      
LOCAL\mojo.26652.9908.3414373857882425507          1                1      
pipe_returnea5e12df-6090-4118-a4d6-eaf93609255a          1              128      
pipe_ea5e12df-6090-4118-a4d6-eaf93609255a          1              128      
LOCAL\mojo.26652.2376.10178215582522212878          1                1      
LOCAL\mojo.26652.9908.15637283156281048695          1                1      
LOCAL\mojo.26652.9908.7143304337203709803          1                1      
LOCAL\mojo.26652.9908.1021026132230178343          1                1      
LOCAL\mojo.26652.9908.6076247205700810968          1                1      
